trial,launch_speed,start_angle_deg,start_sector_index,winner_index,winner,color,pocket_offset,free_revolutions,settle_seconds,timed_out
397,11.813758,52.945112,5,35,3,red,30,2.715379,14.187500,0
398,11.866755,210.613014,21,14,11,black,30,2.708703,16.258333,0
399,12.086160,205.078035,21,15,30,red,31,2.733751,14.100000,0
400,11.759929,315.961398,32,29,18,red,34,2.905039,14.470833,0
401,12.135942,76.437054,7,3,19,red,33,2.746305,14.366667,0
402,11.600127,255.901606,26,26,31,black,0,2.982006,14.866667,0
403,11.886636,256.663687,26,19,5,red,30,2.712812,14.320833,0
404,12.437091,336.123993,34,30,29,black,33,2.793298,16.283333,0
405,12.026368,162.783098,16,10,6,black,31,2.735844,14.079167,0
406,12.427981,50.728071,5,1,32,red,33,2.857717,14.433333,0
407,11.998600,17.255245,1,32,28,black,31,2.730481,14.391667,0
408,11.668255,106.070355,10,8,17,black,35,2.890144,14.345833,0
409,11.895237,137.302894,14,8,17,black,31,2.733159,14.754167,0
410,11.640046,64.718803,6,3,19,red,34,2.874764,14.404167,0
411,12.017372,219.767041,22,17,23,red,32,2.767831,16.641667,0
412,12.412146,341.724738,35,30,29,black,32,2.756034,15.212500,0
413,12.179368,140.090714,14,11,27,red,34,2.891030,14.333333,0
414,11.533774,105.884176,10,13,36,red,3,3.050032,15.133333,0
415,12.024933,225.962996,23,25,14,red,2,3.036534,14.991667,0
416,11.667212,235.424230,24,23,1,red,36,2.952607,14.683333,0
417,12.229509,240.612762,24,19,5,red,32,2.759009,13.833333,0
418,11.635820,52.480474,5,1,32,red,33,2.850225,14.433333,0
419,11.578857,211.420154,21,22,33,black,1,2.994087,15.029167,0
420,12.162905,280.293716,28,26,31,black,35,2.898996,14.775000,0
421,12.201146,12.921016,1,33,12,red,32,2.771767,16.341667,0
422,12.278177,86.421287,8,7,25,red,36,2.935693,14.687500,0
423,12.206440,268.071394,27,22,33,black,32,2.789041,13.791667,0
424,12.318390,150.158430,15,11,27,red,33,2.768503,15.195833,0
425,11.521704,243.030271,24,25,14,red,1,2.983071,14.658333,0
